abstraction
argument
array
assignment
attribute
backend
binary
boolean
byte
bytecode
class
closure
comment
compiler
concatenation
conditional
convention
debug
declaration
decorator
dictionary
docstring
encapsulation
encoding
exception
expression
framework
function
global
identifier
immutable
inheritance
inheritance
input
instance
instantiation
interpreter
iteration
iterator
library
list
loop
loop
method
mutable
namespace
object
parameter
pointer
polymorphism
pseudocode
quicksort
random
recursion
runtime
runtime
scope
slice
stack
statement
struct
syntax
tuple
